date ,session,time,pair,rr,result,direction,profit,loss,liquidity,screenshot,swp_bfr_ott,year,month
25.09.2023,NY am,10:51:00,SP500,,BE,short,,,during OTT,https://glaze-deer-019.notion.site/25-09-2023-1105d91690408057b009e10b040c79a9?pvs=4,,2023,9
28.09.2023,London,03:45:00,NAS100,"2,7",TP,short,540,,during OTT,https://glaze-deer-019.notion.site/28-09-2023-1155d916904080aa9e4de88a4c399c0d?pvs=4,,2023,9
29.09.2023,NY am,10:51:00,NAS100,,BE,long,,,during OTT,https://glaze-deer-019.notion.site/29-09-2023-10d5d916904080b38590cea44e38a3a4?pvs=4,,2023,9
04.10.2023,NY am,10:32:00,NAS100,"1,6",TP,long,320,,before OTT,https://glaze-deer-019.notion.site/04-10-2023-10d5d916904080489ca8f00f67f696c6?pvs=4,,2023,10
04.10.2023,NY am,10:33:00,SP500,,BE,long,,,before OTT,https://glaze-deer-019.notion.site/04-10-2023-1105d91690408075aa0edc2418cbdc63?pvs=4,,2023,10
09.10.2023,NY am,10:10:00,NAS100,,BE,short,,,before OTT,https://glaze-deer-019.notion.site/09-10-2023-10d5d91690408073acf6f3e27685b1b9?pvs=4,yes,2023,10
12.10.2023,NY am,10:37:00,SP500,,BE,short,,,before OTT,https://glaze-deer-019.notion.site/12-10-2023-1105d916904080d4b654e603f99ecfcb?pvs=4,,2023,10
18.10.2023,NY am,10:10:00,SP500,"1,6",TP,long,320,,before OTT,https://glaze-deer-019.notion.site/18-10-2023-1105d916904080b8b78cfdf66f3881b6?pvs=4,,2023,10
27.10.2023,NY am,10:08:00,SP500,,BE,long,,,before OTT,https://glaze-deer-019.notion.site/27-10-2023-1105d9169040805bb799d1baf72f470d?pvs=4,,2023,10
30.10.2023,NY am,10:48:00,SP500,,BE,long,,,during OTT,https://glaze-deer-019.notion.site/30-10-2023-1105d916904080f0aa21d33f2591b553?pvs=4,,2023,10
31.10.2023,NY am,10:12:00,SP500,,BE,long,,,before OTT,https://glaze-deer-019.notion.site/31-10-2023-1105d9169040801d8920dc7337268196?pvs=4,,2023,10
02.11.2023,London,03:52:00,NAS100,"1,6",TP,long,320,,during OTT,https://glaze-deer-019.notion.site/02-11-2023-1155d9169040804e84f9cadc72c1c556?pvs=4,,2023,11
15.11.2023,London,03:02:00,NAS100,,BE,long,,,before OTT,https://glaze-deer-019.notion.site/15-11-2023-1155d91690408084a9a3f5f593716bb0?pvs=4,,2023,11
22.11.2023,NY am,10:28:00,NAS100,,BE,long,,,before OTT,https://glaze-deer-019.notion.site/22-11-2023-10d5d916904080319125d837120ef0f6?pvs=4,,2023,11
22.11.2023,NY am,10:13:00,SP500,,SL,long,,200,before OTT,https://glaze-deer-019.notion.site/22-11-2023-1105d916904080879ed7cc015eb76dbd?pvs=4,,2023,11
30.11.2023,London,03:55:00,NAS100,3,TP,long,600,,during OTT,https://glaze-deer-019.notion.site/30-11-2023-1155d9169040800bbd13d56a263314d6?pvs=4,,2023,11
05.12.2023,NY am,10:29:00,NAS100,,SL,short,,200,during OTT,https://glaze-deer-019.notion.site/05-12-2023-10d5d91690408095b416e5fbe50d0102?pvs=4,,2023,12
05.12.2023,London,03:40:00,NAS100,,SL,long,,200,during OTT,https://glaze-deer-019.notion.site/05-12-2023-1155d9169040809f97bedf3c27914a45?pvs=4,,2023,12
13.12.2023,NY am,10:51:00,NAS100,,BE,long,,,during OTT,https://glaze-deer-019.notion.site/13-12-2023-10d5d9169040802c8504dd74bae37e72?pvs=4,,2023,12
20.12.2023,London,03:56:00,NAS100,,BE,short,,,during OTT,https://glaze-deer-019.notion.site/20-12-2023-1155d9169040801bbfeacfd0ea511434?pvs=4,,2023,12
26.12.2023,NY am,10:30:00,NAS100,,SL,short,,200,before OTT,https://glaze-deer-019.notion.site/26-12-2023-10d5d9169040808da2f2d8d776644990?pvs=4,,2023,12
